,ID,Keywords,emb_2d_0,emb_2d_1,borders
29,29,"neural network,deep learning",7.3687916,7.092401,"6.730843,6.4563007 7.6251674,6.4563007 7.6251674,6.9752045 7.277083,6.9752045 7.277083,7.449692"
30,30,"bifurcation,hopf bifurcation",6.3620577,9.360702,"6.167382,9.015526 6.6053343,8.895367 6.1922426,9.015526 6.6053343,9.340621 6.6053343,8.895367 6.2455297,9.340621 6.2455297,9.146193"
31,31,"gibbs measure,stochastic",9.172808,3.1894658,"9.028456,4.191102 9.028456,2.8806112 7.707279,4.191102 8.776164,2.8806112 8.776164,2.537756 7.827888,2.537756 7.827888,3.1953552"
32,32,"structural electronic,semiconductor",8.898567,10.505152,"9.252056,10.007326 8.896845,10.007326 8.860526,10.452261 8.860526,10.491195 9.031061,10.191195 8.813442,10.452261 8.813442,10.272913 8.957978,10.491195 8.957978,10.4505005"
33,33,"epidemic model,covid outbreak",5.3155837,8.497525,"5.467624,7.79313 5.094405,8.141909 5.196608,8.141909 5.196608,8.748514 5.4346843,7.79313 5.4346843,7.867096"
34,34,"sensor network,iot",7.053224,4.7388997,"7.159214,4.9320755 6.8899517,4.996067 7.1927214,4.996067 7.1927214,4.9320755 7.065728,4.511803 7.065728,4.5486407"
35,35,"epidemic model,endemic equilibrium",5.7024097,8.919194,"6.1861434,9.067982 6.1861434,8.600145 5.4611464,8.600145 5.4611464,8.9906645 5.88811,9.067982 5.88811,8.9906645"
36,36,"parabolic equation,weak solution",11.761412,4.629418,"12.004267,5.2509 12.004267,5.340239 10.898521,4.3597 10.898521,5.340239 11.898338,5.2509 11.898338,4.3597"
37,37,"complex network,social network",6.1746426,4.029029,"5.964619,4.9608355 6.052441,4.9608355 6.052441,3.201134 6.4032073,6.724681 6.5241923,6.724681 6.5241923,3.201134"
38,38,"reliability analysis,reliability",7.10057,6.7881618,"6.594011,6.244334 8.324275,7.2935166 8.324275,6.244334 5.9455743,7.2935166 5.9455743,6.244334"
39,39,"banach algebra,unital algebra",9.759663,1.2213904,"9.607441,0.67567563 9.849706,0.67567563 9.607441,1.4363759 9.607441,0.67567563 9.84274,1.7832351 9.84274,1.4363759 9.915603,1.7832351 9.915603,0.82921696"
40,40,"symbolic computation,computational complexity",7.9028964,2.852473,"8.647798,2.3188272 8.647798,3.2863522 8.249012,2.3188272 7.583299,3.0336194 7.583299,3.2863522 7.610828,3.0336194 7.610828,2.3188272"
41,41,"set theoretic,axiom",8.508123,-0.30933654,"9.097576,0.19115561 9.097576,0.19115561 8.580711,-0.44615117 8.550974,0.19115561 8.566969,-0.30438736 8.566969,-0.25868523"
42,42,"fuzzy set,fuzzy logic",5.773382,5.315929,"6.073719,5.5461383 6.073719,5.0341444 5.851224,5.2711873 5.8206697,5.0341444 5.9456067,5.5461383 5.9456067,5.4537363 5.7720222,5.2711873 5.7720222,5.0901"
43,43,"transportation network,scheduling",6.531135,4.907935,"6.450573,4.6039963 6.8193026,5.8006845 6.8193026,4.6039963 6.3601327,5.8006845 6.410758,5.393469 6.4323936,4.8360143 6.4323936,4.9900336"
44,44,"consumer,thematic analysis",4.3251925,6.5578823,"4.566959,6.984483 4.4816084,6.1279254 4.7222466,6.5436373 4.7222466,6.1279254 4.2902718,6.984483 4.2902718,6.324593"
45,45,"precipitation,climate",7.461839,7.705508,"7.6538324,7.5217605 6.9731174,7.5217605 7.483639,7.5217605 7.483639,7.9146376 7.208089,7.9146376 7.208089,7.834315"
46,46,"fluid dynamic,computational fluid",10.460631,9.01672,"10.837466,8.805593 10.610323,9.216541 8.485317,8.805593 8.485317,9.216541 10.665395,8.805593 10.665395,9.16712"
47,47,"option pricing,financial market",5.17273,6.014533,"5.4347076,5.709526 5.1961904,6.0517726 5.3681664,6.2439337 5.2827578,5.709526 5.2827578,5.7843633 5.1587543,6.0517726 5.1587543,6.222905"
48,48,"group action,lie group",10.0256195,0.8385266,"9.25463,3.0131264 9.25463,0.18737188 10.908473,3.0131264 10.908473,0.7827991 10.638059,0.7827991 10.638059,0.18737188"
49,49,"galerkin method,helmholtz equation",9.941409,7.4630885,"9.727575,7.199829 10.109509,7.199829 10.109509,7.525437 9.881436,7.525437 9.881436,7.701372"
50,50,"image reconstruction,image processing",8.245015,5.97246,"8.023564,7.388895 7.960786,6.3175898 7.960786,5.14037 7.263236,6.3175898 7.263236,7.388895 8.554435,5.14037 8.554435,6.970733"
51,51,"galois group,galois",9.341507,0.3012609,"9.06713,0.57353896 9.06713,0.048741855 9.787269,0.19374391 9.035674,0.57353896 9.035674,0.48919144 9.77016,0.19374391 9.77016,0.48919144 9.467759,0.048741855 9.524424,0.12914142 9.524424,0.048741855"
52,52,"numerical integration,volterra integral",10.331064,6.3695006,"10.230856,6.506829 10.230856,6.1240954 10.490878,6.506829 10.4991045,6.506829 10.4991045,6.1240954"
53,53,"gene,gene expression",6.4169817,7.751485,"6.080202,8.483223 5.9581776,7.8239093 5.9581776,7.3214464 6.4912205,8.483223 6.4912205,7.3214464 6.0233464,7.8239093 6.0233464,8.387569"
54,54,"galerkin method,numerical scheme",10.919566,6.8820295,"10.320016,7.0010734 10.320016,6.4932723 10.909688,6.4932723 10.909688,7.230617 10.156854,7.230617 10.156854,7.0010734"
55,55,"neck pain,knee",4.1695156,7.912593,"3.6557586,7.731033 3.6557586,8.010667 4.882094,7.731033 4.882094,8.010667"
56,56,"unconstrained optimization,convex optimization",8.766107,5.0053096,"7.456048,4.9984517 9.165211,5.465478 7.632083,5.465478 7.632083,5.881927 7.0595093,4.9984517 7.0595093,4.8636036"
57,57,"fractional differential,fractional derivative",10.837511,5.311018,"10.941174,5.5006943 10.941174,5.1039486 10.751356,5.5006943 10.844521,5.1039486 10.844521,5.1917477"
58,58,"convex polygon,convex hull",7.2863894,2.409286,"7.962093,4.109169 7.7493124,4.109169 7.7493124,0.7389345 10.294706,0.7389345 10.294706,4.109169"
59,59,"vegetation,vegetation index",7.2914186,8.575154,"8.195021,8.333714 7.738812,8.333714 6.776854,8.333714 7.140782,8.745479 7.140782,8.560399 6.892562,8.745479 6.8125663,8.697149 6.8125663,8.745274"
60,60,"geometrical,geometry",9.175809,2.1853278,"8.870448,7.995156 7.618666,1.8799583 9.652959,1.0178617 9.652959,1.8799583 11.423339,1.0178617 11.423339,6.1976824 4.0225544,2.0191526 4.0225544,7.995156"
61,61,"adsorption,porous medium",8.597912,9.178044,"8.890241,9.053064 8.727817,9.4637375 8.727817,9.053064 8.5960245,9.4637375 8.675195,8.922316 8.675195,9.183574"
62,62,"power grid,power generation",6.3518605,5.6569743,"6.3063107,5.7310796 6.5873246,5.8292603 6.6029325,5.8292603 6.6029325,5.565361 6.101269,5.7310796 6.101269,5.8187904"
63,63,"variational principle,variational formulation",10.264456,4.57472,"10.591588,4.2650356 10.253085,4.4185843 10.253085,4.2650356 10.300111,4.4185843 10.300111,4.546733"
64,64,"piezoelectric,elastic modulus",9.602881,8.275764,"9.761506,7.884324 9.46945,7.884324 9.46945,8.646942 9.674792,8.619184 9.674792,8.646942"
65,65,"water wave,wave propagation",8.604789,7.754984,"10.649305,6.9994755 9.7986765,6.9994755 10.348951,6.158499 9.871506,7.9416337 9.871506,7.0594296"
66,66,"game theory,game theoretic",5.253468,4.942324,"5.3716445,4.9499545 5.4745245,5.177202 5.4745245,4.9499545 5.287371,4.853048 5.2275624,5.177202 5.2275624,4.919122"
67,67,"renewable energy,energy consumption",5.848606,6.006892,"6.2814665,6.2061763 5.768983,5.779532 6.126085,6.2814393 6.126085,5.779532 5.5579786,6.2061763 5.5579786,5.8651376"
68,68,"type inequality,integral inequality",10.05063,3.3031797,"10.161627,2.825186 10.161627,3.469014 9.919067,2.825186 10.024682,3.469014 10.024682,3.11754"
